RA;Fase;Turma;Nome_Anon;Ano_Nasc;Idade;Gênero;Ano ingresso;Instituicao_Ensino;Pedra 20;Pedra 21;Pedra 22;INDE;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;Avaliador3;Rec Av3;Avaliador4;Rec Av4;IAA;IEG;IPS;Rec Psicologia;IDA;Mat;Por;Ing;Indicado;Atingiu PV;IPV;IAN;Fase ideal;Defas;Destaque IEG;Destaque IDA;Destaque IPV;ano_ref;Defasagem;Fase Ideal;IPP;INDE 2023;Pedra 2023;Data_Nasc;Pedra 23;INDE 22;Destaque IPV.1;Pedra 2024;INDE 23;Avaliador5;Avaliador6;Escola;Ativo/ Inativo;Ativo/ Inativo.1;Defasagem_num;IAN_num;risco
RA-1;7;A;Aluno-1;2003.0;19;Menina;2016;Escola Pública;Ametista;Ametista;Quartzo;5.783;753.0;18.0;10.0;4.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Mantido na Fase atual;8.3;4.1;5.6;Requer avaliação;4.0;2.7;3.5;6.0;Sim;Não;7.278;5.0;Fase 8 (Universitários);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-2;7;A;Aluno-2;2005.0;17;Menina;2017;Rede Decisão;Ametista;Ametista;Ametista;7.055;469.0;8.0;3.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8.8;5.2;6.3;Sem limitações;6.8;6.3;4.5;9.7;Não;Não;6.778;10.0;Fase 7 (3º EM);0.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;10.0;1
RA-3;7;A;Aluno-3;2005.0;17;Menina;2016;Rede Decisão;Ametista;Ametista;Ágata;6.591;629.0;13.0;6.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;0.0;7.9;5.6;Sem limitações;5.6;5.8;4.0;6.9;Não;Não;7.556;10.0;Fase 7 (3º EM);0.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;10.0;1
RA-4;7;A;Aluno-4;2005.0;17;Menino;2017;Rede Decisão;Ametista;Ametista;Quartzo;5.951;731.0;15.0;7.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;8.8;4.5;5.6;Requer avaliação;5.0;2.8;3.5;8.7;Não;Não;5.278;10.0;Fase 7 (3º EM);0.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;10.0;1
RA-5;7;A;Aluno-5;2005.0;17;Menina;2016;Rede Decisão;Ametista;Ametista;Ametista;7.427;344.0;6.0;2.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;7.9;8.6;5.6;Requer avaliação;5.2;7.0;2.9;5.7;Não;Não;7.389;10.0;Fase 7 (3º EM);0.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;10.0;1
RA-6;7;A;Aluno-6;2004.0;18;Menina;2021;Escola Pública;;Ágata;Quartzo;5.848;745.0;16.0;8.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7.9;4.5;7.5;Sem limitações;3.3;2.3;5.3;2.3;Sim;Não;7.222;5.0;Fase 8 (Universitários);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-7;7;A;Aluno-7;2004.0;18;Menino;2017;Rede Decisão;Ametista;Ametista;Ágata;6.818;550.0;11.0;5.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;0.0;8.4;7.5;Sem limitações;7.6;8.2;5.7;9.0;Não;Não;7.667;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-8;7;A;Aluno-8;2002.0;20;Menina;2018;Escola Pública;Quartzo;Ágata;Quartzo;4.786;836.0;21.0;13.0;4.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;7.1;4.6;6.3;Requer avaliação;1.6;1.2;0.7;2.9;Não;Não;6.278;5.0;Fase 8 (Universitários);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-9;7;A;Aluno-9;2004.0;18;Menina;2019;Escola Pública;Ametista;Ametista;Topázio;8.109;113.0;1.0;1.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase + Bolsa;8.8;9.5;7.5;Sem limitações;6.7;5.5;6.0;8.7;Sim;Sim;9.5;5.0;Fase 8 (Universitários);-1.0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
RA-10;7;A;Aluno-10;2004.0;18;Menina;2021;Escola Pública;;Ágata;Quartzo;5.784;752.0;17.0;9.0;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;8.3;5.2;5.0;Requer avaliação;4.1;3.3;2.6;6.4;Não;Não;7.056;5.0;Fase 8 (Universitários);-1.0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;5.0;0
